stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
231,1626666310083212000,-0.768075,0.023731,-0.021139,-0.768075,0.023731,-0.021139,-0.613430,0.025350,-0.018509
232,1626666310116537000,-0.769381,0.026077,-0.022498,-0.769381,0.026077,-0.022498,-0.623310,0.025426,-0.018945
233,1626666310149863000,-0.770521,0.026872,-0.025067,-0.770521,0.026872,-0.025067,-0.633117,0.025502,-0.019374
234,1626666310183189000,-0.771615,0.026916,-0.027769,-0.771615,0.026916,-0.027769,-0.642380,0.025575,-0.019789
235,1626666310216515000,-0.771920,0.027028,-0.029427,-0.771920,0.027028,-0.029427,-0.650967,0.025646,-0.020188
236,1626666310249840000,-0.770480,0.028078,-0.030322,-0.770480,0.028078,-0.030322,-0.659427,0.025716,-0.020581
237,1626666310283166000,-0.766601,0.028876,-0.031156,-0.766601,0.028876,-0.031156,-0.667335,0.025783,-0.020959
238,1626666310316492000,-0.762545,0.029126,-0.031893,-0.762545,0.029126,-0.031893,-0.674586,0.025848,-0.021321
239,1626666310349818000,-0.758200,0.029959,-0.032005,-0.758200,0.029959,-0.032005,-0.681669,0.025911,-0.021674
240,1626666310383144000,-0.753161,0.029935,-0.031641,-0.753161,0.029935,-0.031641,-0.688211,0.025971,-0.022010
241,1626666310416469000,-0.747945,0.029535,-0.031248,-0.747945,0.029535,-0.031248,-0.694132,0.026028,-0.022329
242,1626666310449795000,-0.741983,0.029393,-0.030923,-0.741983,0.029393,-0.030923,-0.699851,0.026083,-0.022631
243,1626666310483121000,-0.737021,0.029330,-0.030732,-0.737021,0.029330,-0.030732,-0.705066,0.026134,-0.022911
244,1626666310516446000,-0.732448,0.029526,-0.030500,-0.732448,0.029526,-0.030500,-0.709716,0.026182,-0.023170
245,1626666310549772000,-0.727559,0.028033,-0.030267,-0.727559,0.028033,-0.030267,-0.714146,0.026230,-0.023407
246,1626666310583098000,-0.723585,0.028164,-0.029692,-0.723585,0.028164,-0.029692,-0.718114,0.026275,-0.023618
247,1626666310616424000,-0.720450,0.028487,-0.028459,-0.720450,0.028487,-0.028459,-0.721589,0.026318,-0.023806
248,1626666310649749000,-0.716974,0.027450,-0.026517,-0.716974,0.027450,-0.026517,-0.724838,0.026362,-0.023971
249,1626666310683075000,-0.714555,0.027471,-0.023783,-0.714555,0.027471,-0.023783,-0.727676,0.026404,-0.024110
250,1626666310716401000,-0.712617,0.026955,-0.021006,-0.712617,0.026955,-0.021006,-0.730090,0.026446,-0.024227
251,1626666310749726000,-0.710530,0.027023,-0.019004,-0.710530,0.027023,-0.019004,-0.732264,0.026489,-0.024323
252,1626666310783052000,-0.707569,0.027617,-0.017874,-0.707569,0.027617,-0.017874,-0.734072,0.026533,-0.024397
253,1626666310816378000,-0.704205,0.028472,-0.017043,-0.704205,0.028472,-0.017043,-0.735520,0.026575,-0.024452
254,1626666310849704000,-0.700566,0.029139,-0.015848,-0.700566,0.029139,-0.015848,-0.736715,0.026621,-0.024488
